date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,activeAddresses,medianTxValue(USD)
2018-03-21,416977640.84,6449,2210352896.0,0.996938,2353890048.0,0.0,4135,7714.9831649,
2018-03-22,638245687.601,5857,2215943680.0,0.99946,2171849984.0,0.0,3867,5997.34494396,
2018-03-23,329169778.099,5500,2285359104.0,0.999221,1995699968.0,0.0,3333,4016.86842,
2018-03-24,125880690.175,4270,2290888192.0,1.0,1785500032.0,0.0,2661,2980.0,
2018-03-25,114475592.142,3842,2287422976.0,1.0,1511320064.0,0.0,2543,2423.05774677,
2018-03-26,260992726.778,5267,2279363584.0,0.9966,2183960064.0,0.0,3022,2981.72781712,
2018-03-27,345059932.052,6407,2292673280.0,1.0,2051079936.0,0.0,4107,1719.9737,
2018-03-28,316454889.362,4700,2292350208.0,1.0,1857049984.0,0.0,2914,2380.78219404,
2018-03-29,275591847.45,5396,2293081088.0,1.0,2486609920.0,0.0,2994,2925.15,
2018-03-30,461237410.219,6846,2277757696.0,0.995897,2596849920.0,0.0,3527,3379.4996202,
2018-03-31,137558566.772,3948,2280312320.0,0.997014,1763719936.0,0.0,2447,1969.10265,
2018-04-01,153496514.03,4292,2277309696.0,0.995702,1832530048.0,0.0,2797,2428.7661035,
2018-04-02,172498000.588,3433,2294764288.0,1.0,1550880000.0,0.0,1956,2110.21669017,
2018-04-03,151372142.846,4040,2281622016.0,0.997587,1753520000.0,0.0,2243,2065.00509,
2018-04-04,289707367.996,4232,2296236032.0,1.0,1772329984.0,0.0,2406,3009.85433432,
2018-04-05,127763175.751,3525,2291818752.0,1.0,1609469952.0,0.0,1909,2100.0,
2018-04-06,105111882.417,3181,2287853312.0,1.0,1257110016.0,0.0,1772,1975.0,
2018-04-07,154342649.406,3044,2291127296.0,1.0,1332259968.0,0.0,1641,2482.6651157,
2018-04-08,105281099.528,5925,2290638080.0,1.0,1090880000.0,0.0,4595,5700.0,
2018-04-09,176401033.801,5804,2281515776.0,0.997541,1678770048.0,0.0,3714,3555.16080965,
2018-04-10,112104478.638,6299,2280170752.0,0.996953,1253949952.0,0.0,4626,2628.965061,
2018-04-11,175570213.006,4305,2281635328.0,0.997593,1741699968.0,0.0,2255,2713.46352756,
2018-04-12,345645336.381,10816,2278925824.0,0.996408,3636590080.0,0.0,7472,1606.03208627,
2018-04-13,327844945.576,11193,2277623040.0,0.995839,3218919936.0,0.0,7204,995.839,
2018-04-14,190676699.035,4976,2291314944.0,1.0,2060220032.0,0.0,2676,2938.23950727,
2018-04-15,140804388.303,4685,2278695680.0,0.996308,2057859968.0,0.0,2484,2949.07168,
2018-04-16,211599040.07,5510,2284588800.0,0.998884,2125180032.0,0.0,2896,2806.4937537,
2018-04-17,186466551.913,5898,2280775936.0,0.997217,2075650048.0,0.0,3044,2705.449721,
2018-04-18,198306407.796,5529,2288648192.0,1.0,2112089984.0,0.0,2883,2149.34,
2018-04-19,181325649.616,6634,2282352640.0,0.997907,2217799936.0,0.0,3547,2353.63811215,
2018-04-20,279573150.106,7788,2281536512.0,0.99755,3458870016.0,0.0,4098,2493.875,
2018-04-21,403101018.871,7526,2280442368.0,0.997071,3570040064.0,0.0,4087,2800.61410413,
2018-04-22,271410734.3,7882,2297004288.0,1.0,3176019968.0,0.0,4338,2715.57150419,
2018-04-23,353379936.923,12022,2276002560.0,0.99513,3075480064.0,0.0,8310,1003.09104,
2018-04-24,358605962.889,13004,2284794368.0,0.998974,5033249792.0,0.0,8204,1517.42652134,
2018-04-25,676602317.385,8856,2298787072.0,1.01,6126580224.0,0.0,4908,2585.89263659,
2018-04-26,359570548.631,8985,2422597632.0,1.0,4206320128.0,0.0,4887,3090.0,
2018-04-27,345178777.095,8818,2422085632.0,1.0,4060179968.0,0.0,4795,2898.98409995,
2018-04-28,619007834.761,27581,2419018496.0,1.0,4066050048.0,0.0,22406,2000.0,
2018-04-29,423246703.064,11583,2414399488.0,0.998866,5167799808.0,0.0,5690,2704.929128,
2018-04-30,336626401.125,9143,2411225600.0,0.997553,4498440192.0,0.0,4297,3268.981181,
2018-05-01,190120793.146,7595,2417739776.0,1.0,3901110016.0,0.0,3764,2880.19525226,
2018-05-02,468948500.684,9341,2418639872.0,1.0,3711889920.0,0.0,4614,2526.05230718,
2018-05-03,463649070.129,11473,2308492032.0,0.996267,4307829760.0,0.0,5673,2988.801,
2018-05-04,578468683.481,10624,2330611456.0,1.01,3844979968.0,0.0,5455,3087.70000763,
2018-05-05,347349861.13,11011,2265890048.0,0.999448,3848780032.0,0.0,5516,2998.344,
2018-05-06,371897437.662,8359,2257858560.0,0.995906,3948859904.0,0.0,4132,3027.53432188,
2018-05-07,625975768.997,9462,2186926336.0,0.995351,4137240064.0,0.0,5063,3583.2636,
2018-05-08,562139160.998,15548,2154433280.0,0.998745,3317769984.0,0.0,10514,1997.7896235,
2018-05-09,649494039.331,8851,2111399296.0,1.0,3236689920.0,0.0,4343,3000.0,
2018-05-10,506609438.789,9402,2105922944.0,0.999422,3430200064.0,0.0,4778,3051.235366,
2018-05-11,508808738.216,11088,2115716480.0,1.0,4733060096.0,0.0,5662,2989.99999995,
2018-05-12,548917907.77,9717,2106613760.0,0.99975,4539990016.0,0.0,4596,3941.846292,
2018-05-13,216180675.202,6157,2208214016.0,1.0,3179099904.0,0.0,3238,2870.5055,
2018-05-14,323700980.301,8743,2211479040.0,1.0,3820280064.0,0.0,4654,3250.0,
2018-05-15,316805467.596,8581,2208327168.0,1.0,3315440128.0,0.0,4400,3226.0,
2018-05-16,521212926.975,10138,2211882240.0,1.0,3238190080.0,0.0,5373,2756.01429797,
2018-05-17,347038197.31,8229,2308562176.0,1.0,3026749952.0,0.0,4307,3000.0,
2018-05-18,760648183.619,9309,2312893696.0,1.0,3051709952.0,250000000.0,5020,3000.9,
2018-05-19,157724456.12,6470,2507663360.0,1.0,2569299968.0,0.0,3634,2877.4,
2018-05-20,156827602.171,5418,2510830592.0,1.0,2610939904.0,0.0,3116,2670.08701216,
2018-05-21,270942016.25,7119,2506117888.0,0.999592,2406449920.0,0.0,3951,2798.8576,
2018-05-22,269025336.918,6433,2514989312.0,1.0,2417590016.0,0.0,3408,3086.8,
2018-05-23,553239407.364,10222,2509060608.0,1.0,3360600064.0,0.0,5832,2686.6880145,
2018-05-24,396919708.189,7888,2510526720.0,1.0,3122710016.0,0.0,4190,3039.39075,
2018-05-25,318328632.116,7017,2505365504.0,0.999292,2375610112.0,0.0,4001,2098.5132,
2018-05-26,121329103.534,5256,2514587648.0,1.0,1872140032.0,0.0,3067,1481.60307296,
2018-05-27,307714416.401,5052,2511545856.0,1.0,1885900032.0,0.0,2631,2560.8566,
2018-05-28,575923263.365,11068,2508579584.0,1.0,2582710016.0,0.0,6940,2990.0,
2018-05-29,421874799.227,9331,2505311744.0,0.99927,3003919872.0,0.0,5042,3585.38076,
2018-05-30,239187330.408,7969,2505854720.0,0.999487,2429060096.0,0.0,4696,1969.51911811,
2018-05-31,300466668.478,8360,2512157952.0,1.0,2613339904.0,0.0,4279,2155.17725,
2018-06-01,283787494.448,7240,2504852992.0,0.999088,2486080000.0,0.0,3699,2807.96492335,
2018-06-02,199065601.617,6549,2507596288.0,1.0,3187569920.0,0.0,3322,2106.03548079,
2018-06-03,181084251.665,6544,2487158272.0,0.99203,2796300032.0,0.0,3532,1984.06,
